Khokhar,کھوکھر,
Langah,لنگاہ,
Makhdoom,مخدوم,
Qureshi,قریشی,
Rind,رند,
Rawani,روانی,
Shah,شاہ,
Sial,سیال,
Sapra,سپرا,
Somro,سومرو,
Tangwani,تنگوانی,
Awan,اعوان,
Bakhsh waal,بخشوال,Awan
Barmaal,برمال,Awan
Budh aal,بدھ آل,Awan
Bhako/bhakwal,بکھو/ بکھوال,Awan
Basial,بسیال,Awan
Bakar aal,بکر آل,Awan
Begaal,بیگال,Awan
Bhakhwal,بھکھوال,Awan
Bhabhwal,بھبھوال,Awan
Bhajial,بھجیال,Awan
Bhagaryal,بھگریال,Awan
Bhalay,بھلے,Awan
Bhandal,بھنڈال,Awan
Bhomeen,بھومین,Awan
Bhartal,بھڑتال,Awan
Phagri,پھاگری,Awan
Phatiyal,پھتھیال,Awan
Jaageen,جاگین,Awan
Jadhal,جدھال,Awan
Johar paal,جوہرپال,Awan
Jora,جورا,Awan
Janaal,جانال,Awan
Jadaal,جڈال,Awan
Jaggi,جگی,Awan
Jabbo aal/Jabal,جبو آل/ جبال,Awan
Jahan shahi,جہان شاہی,Awan
Jaral,جرل,Awan
Jind awan,جند اعوان,Awan
Jaangla,جانگلہ,Awan
Jeeto aal,جیتو آل,Awan
Jindran,جندران,Awan
Jaswal,جسوال,Awan
Jammu aal,جموں آل,Awan
Jangu,جنگو,Awan
Jeem aal,جیم آل,Awan
Jeeta aal,جیتا آل,Awan
Jafar aal,جعفر آل,Awan
Jangi aal,جنگی آل,Awan
Juma,جمعہ,Awan
Jin kang,جن کانگ,Awan
Jwndaal,جوندال,Awan
Jagan,جگن,Awan
Jalkhu,جلخو,Awan
Jahangir aal,جہانگیر آل,Awan
Jhaaj,جھاج,Awan
Jhogal,جھوگل,Awan
Jhaanka,جھانکہ,Awan
Jagaal,جگال,Awan
Jhaam,جھام,Awan
Jhaaj,جھاج,Awan
Cheetal,چیتال,Awan
Charagh khel,چراغ خیل,Awan
Chot/ Chotiyal,چوٹ/ چوٹیال,Awan
Chandi,چاندی,Awan
Chathlay,چاٹھلے,Awan
Chalaal,چھلال,Awan
Chatwal,چھتوال,Awan
Choonga,چھونگا,Awan
Haswaal,حسوال,Awan
Hamdala,حمدال,Awan
Hast aal,حست آل,Awan
Hakeem aal,حکیمال,Awan
Haakmaal,حاکمال/ بغلیال,Awan
Hattar,حطار,Awan
Hasnaal,حسنال,Awan
Hafizaal,حافظال,Awan
Haideraal,حیدرال,Awan
Habib aal,حبیب آل,Awan
Dhunni aal,دھنی آل,Awan
Datwaal,دتوال,Awan
Dartaal,درتال,Awan
Darsaal,درسال,Awan
Daryaal,دریال,Awan
Dharamsaal,دھرمسال,Awan
Dhosa,دھوسا,Awan
Toar,طور,Awan
Safi qabeela,صافی قبیلہ,Awan
Sadqaal,صدقال,Awan
Sadyaal,صدیال,Awan
Safhaal,صفہال,Awan
Sahrabi,صحرابی,Awan
Saghraal,صغرال,Awan
Sabraal,صابرال,Awan
Sharif Khan aal,شریف خان آل,Awan
Sheraal,شپرال,Awan
Fatwaal,فتوال,Awan
Ghazi Khel,غازی خیل,Awan
Ghazi aal,غازی آل,Awan
Ghulam M. aal,غلام محمد آل,Awan
Ghazi,غازی,Awan
Fato aal,فتوآل,Awan
Faqraal,فقرال,Awan
Faiz Talab aal,فیض طلب آل,Awan
Ferozaal,فیروزال,Awan
Fathaal,فتحال,Awan
Faqeera aal,فقیرہ آل,Awan
Feroza Zai,فیروز زئی,Awan
Qalmaal,قالمال,Awan
Qasmaal,قسمال,Awan
Qaim Bin Anwar,قائم بن انور,Awan
Qutab aal,قطب آل,Awan
Qaziaal,قاضیال,Awan
Qias aal,قیاس آل,Awan
Inayat aal,عنایت آل,Awan
Inayat Khaani,عنایت خانی,Awan
Eesaal,عیسال,Awan
Atraal,عطرال,Awan
Abdul Rehman,عبدالرحمن,Awan
Kundi,کنڈی,Awan
Kahooga,کہوگا,Awan
Kalo aal,کالو آل,Awan
Qaltaan,کلتان,Awan
Kaang,کانگ,Awan
Kalloo kay,کلوکے,Awan
Kamal aal,کمال آل,Awan
Koarr all,کوڑ آل,Awan
Kaala aal,کالا آل,Awan
Kaldaani,کلدانی,Awan
Karsial,کرسیال,Awan
Kandaan,کنڈان,Awan
Konday,کونڈے,Awan
Kaliyal,کلیکال,Awan
Karamyal,کرمیال,Awan
Kaleem,کلیم,Awan
Kamal aal,کمال آل,Awan
Kalaarr,کلاڑ,Awan
